,car_park_no,address,car_park_type,type_of_parking_system,free_parking,night_parking,car_park_basement,address_adj,Name (English),Region
0,ACB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,BASEMENT CAR PARK,ELECTRONIC PARKING,NO,YES,Y,QUEENSTOWN,QUEENSTOWN,Central
1,AR1L,3 AND 5 DOVER ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
2,AR1M,BLK 2A DOVER ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
3,AR2L,BLK 26 AND 27 DOVER CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
4,AR2M,BLK 28 DOVER CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
5,AR5M,BLK 19A DOVER CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
6,AR7L,12 TO 14 DOVER CLOSE EAST,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
7,AR7M,BLK 12A DOVER CLOSE EAST,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
8,AR9,BLK 20/22/23 DOVER CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,QUEENSTOWN,QUEENSTOWN,Central
9,AV1,BLK 120/120A/121-127 ALEXANDRA VILLAGE,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
10,CCM,BLK 84A COMMONWEALTH CLOSE,MULTI-STOREY CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
11,CDM,BLK 54 C'WEALTH DR,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
12,CLM,BLK 129A CLARENCE LANE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
13,CR30,BLK 639/640 ROWELL COURT,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
14,CR31,BLK 632/633/635 VEERASAMY ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
15,CR4,BLK 7 NORTH BRIDGE ROAD,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,QUEENSTOWN,QUEENSTOWN,Central
16,CR5,BLK 18/19 JALAN SULTAN,SURFACE CAR PARK,COUPON PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
17,CR6,BLK 10 NORTH BRIDGE ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
18,CR7,BLK 464/463 CRAWFORD LANE,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
19,CSM,BLK 54 CHIN SWEE ROAD MSCP,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
20,CTM1,BLK 441 COMMONWEALTH AVE WEST,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
21,CVBK,BLK 8C BOON KENG ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
22,CV1,BLK 1/1A TELOK PAKU ROAD,MECHANISED AND SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
23,C4M,BLK 413A COMMONWEALTH AVENUE WEST,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
24,DSRL,BLK 38A MARGARET DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
25,DSR1,BLK 31A MARGARET DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
26,DSR2,BLK 37A MARGARET DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
27,DWSO,BLK 40 & 41 MARGARET DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
28,DWSP,BLK 95A DAWSON ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
29,DWST,BLK 89A DAWSON ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
30,DWSV,BLK 85 DAWSON ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
31,DWVT,BLK 78A DAWSON ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
32,GMLM,BLK 24 GHIM MOH LINK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
33,GM1A,BLK 2A GHIM MOH ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
34,GM1B,BLK 5A GHIM MOH RD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
35,GM1M,31A GHIM MOH LINK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
36,GM2,BLK 7/8/9 GHIM MOH ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
37,GM2A,BLK 8A GHIM MOH RD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
38,GM3,BLK 19/20 GHIM MOH ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
39,GM5,BLK 21 GHIM MOH ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
40,GM6A,BLK 13A GHIM MOH RD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,QUEENSTOWN,QUEENSTOWN,Central
41,GM6B,BLK 16A GHIM MOH ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
42,MLM,BLK 157A MEI LING STREET,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
43,MLM1,BLK 161A MEI LING ST,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
44,PDQ5,BLK 57 DAWSON RD,SURFACE/MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
45,Q14,BLK 49 STIRLING RD,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,QUEENSTOWN,QUEENSTOWN,Central
46,Q15,BLK 41/48 STIRLING RD,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
47,Q16,BLK 45 AND 50 STIRLING RD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
48,Q17,BLK 52 STIRLING RD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
49,Q19,BLK 151 MEI LING STREET,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
50,Q2A,BLK 155-164 STIRLING ROAD,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,QUEENSTOWN,QUEENSTOWN,Central
51,Q30,MARGARET DRIVE,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
52,Q41,BLK 80 STRATHMORE AVENUE,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
53,Q48,BLK 150A MEI CHIN ROAD,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
54,Q49,- MEI CHIN ROAD,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
55,Q5A,BLKS 166-171 STIRLING ROAD,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,QUEENSTOWN,QUEENSTOWN,Central
56,Q5S,BLK 165-166 STIRLING RD,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
57,Q55,BLK 61/66 COMMONWEALTH DRIVE,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
58,Q57,BLK 46-2 COMMONWEALTH DRIVE,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
59,Q58,BLK 46-3 COMMONWEALTH DRIVE,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
60,Q65,BLK 115A COMMONWEALTH DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
61,Q65A,BLK 96-111 AND 115 COMMONWEALTH CRESCENT,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,QUEENSTOWN,QUEENSTOWN,Central
62,Q66,BLK 117 COMMONWEALTH DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
63,Q67,BLK 116-118 COMMONWEALTH CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
64,Q68,BLK 110 COMMONWEALTH CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
65,Q70,BLK 99/102 COMMONWEALTH CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
66,Q72,BLK 96 COMMONWEALTH CRESCENT,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
67,Q73,BLK 91/92 COMMONWEALTH DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
68,Q75M,BLK 10A HOLLAND DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
69,Q77M,BLK 18 HOLLAND DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
70,Q8,BLK 19/23A/23B QUEENS CLOSE,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
71,Q80,BLK 45/46/47 HOLLAND DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
72,Q81,BLK 43 HOLLAND DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
73,Q84,BLK 2/4/6/31/32 HOLLAND CLOSE,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
74,Q85,NORTH BUONA VISTA ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
75,Q86,BLK 148A MEI LING STREET,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
76,Q87,BLK 5A HOLLAND CLOSE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
77,Q89,BLK 7B COMMONWEALTH AVENUE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
78,Q92,BLK 82 STRATHMORE AVENUE,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
79,Q93,BLK 83 STRATHMORE AVENUE,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
80,Q94,BLK 102 COMMONWEALTH CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
81,Q95,BLK 98 COMMONWEALTH CRESCENT,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
82,Q96,BLK 181-184 STIRLING ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
83,Q97,BLK 64 COMMONWEALTH DRIVE,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
84,Q98,BLK 55 COMMONWEALTH DRIVE,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
85,Q99,BLK 89 COMMONWEALTH DRIVE,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
86,RCM,BLK 638 VEERASAMY ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
87,SAM,BLK 60A STRATHMORE AVENUE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
88,SAM2,BLK 61 STRATHMORE AVENUE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,QUEENSTOWN,QUEENSTOWN,Central
89,SMM,BLK 53A STRATHMORE AVENUE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
90,SMML,BLK 50/51 STRATHMORE AVENUE,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,QUEENSTOWN,QUEENSTOWN,Central
91,STAM,BLK 56A STRATHMORE AVENUE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
92,STM1,BLK 169A STIRLING ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
93,STM2,BLK 171A STIRLING ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
94,STM3,BLK 168-171 STIRLING ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
95,THM,BLK 37B COMMONWEALTH DRIVE,MULTI-STOREY CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,YES,N,QUEENSTOWN,QUEENSTOWN,Central
96,ACM,BLK 98A ALJUNIED CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
97,BR18,BLK 111A ST MICHAEL BUS TERMINAL,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
98,ECM,BLK 31A EUNOS CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
99,EC2,BLK 12-25 EUNOS CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
100,EC3,BLK 5-8/11/4A EUNOS CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,GEYLANG,GEYLANG,Central
101,EC4,BLK 1-3/1A EUNOS CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,GEYLANG,GEYLANG,Central
102,EC5,BLK 9-10 EUNOS CRESCENT,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,GEYLANG,GEYLANG,Central
103,EI1,BLK 1001-1085 EUNOS INDUSTRIAL ESTATE,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,GEYLANG,GEYLANG,Central
104,EI3,BLK 410/411/414-417 EUNOS ROAD 5,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,GEYLANG,GEYLANG,Central
105,GBM,BLK 60A GEYLANG BAHRU,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
106,GEM,BLK 118 ALJUNIED AVE 2,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
107,GEML,BLK 118 ALJUNIED AVE 2,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,GEYLANG,GEYLANG,Central
108,GE1A,BLK 99-106/111-112 ALJUNIED CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
109,GE1B,BLK 114-117 ALJUNIED AVENUE 2,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,GEYLANG,GEYLANG,Central
110,GE1C,BLK 119 ALJUNIED CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
111,GE1D,BLK 1005-1012 ALJUNIED CRESCENT,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
112,GE1E,BLK 109-110 ALJUNIED CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
113,GE1F,BLK 107-108 ALJUNIED CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
114,GE1G,BLK 95 & 113 ALJUNIED CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,GEYLANG,GEYLANG,Central
115,GE2,BLK 120 TO 123 GEYLANG EAST CENTRAL,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
116,GE3,BLK 124 TO 128 GEYLANG EAST AVE 1,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
117,GE5,BLK 129-134 GEYLANG EAST AVE 1/2,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
118,GSM,BLK 2 GEYLANG SERAI,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,GEYLANG,GEYLANG,Central
119,GSML,BLK 2 GEYLANG SERAI,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,GEYLANG,GEYLANG,Central
120,HR1,BLK 1-3 HAIG RD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
121,HR2,BLK 4-6 HAIG RD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
122,HR3,BLK 7 TO 9 HAIG RD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
123,HR4,BLK 10 TO 14 HAIG RD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
124,HR5,BLK 21 TO 23 HAIG RD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
125,JB1,"BLK 3-5,7,8,4A JALAN BATU",SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,GEYLANG,GEYLANG,Central
126,JB2,BLK 10-11 JALAN BATU,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,GEYLANG,GEYLANG,Central
127,JCM,BLK 2 JOO CHIAT RD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,GEYLANG,GEYLANG,Central
128,JCML,BLK 2 JOO CHIAT RD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,GEYLANG,GEYLANG,Central
129,KB1,BLK 61-62/68 GEYLANG BAHRU ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
130,KB4,BLK 72/93/97 GEYLANG BAHRU,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
131,KB6,BLK 74/92 GEYLANG BAHRU,SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
132,KB7,BLK 69 GEYLANG BAHRU,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
133,KEM1,BLK 671 KLANG LANE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,GEYLANG,GEYLANG,Central
134,KM1,BLK 56A CASSIA CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
135,KM2,BLK 93A JALAN DUA,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
136,KM3,BLK 11A PINE CLOSE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
137,KM4,BLK 49A JALAN TIGA,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,GEYLANG,GEYLANG,Central
138,KM5,BLK 37 PINE LANE,MULTI-STOREY CAR PARK,COUPON PARKING,NO,YES,N,GEYLANG,GEYLANG,Central
139,KRM,BLK 115 JALAN AYER,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,YES,N,GEYLANG,GEYLANG,Central
140,KU1,BLK 301/305-306/311-318 UBI AVENUE 1,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
141,KU2,BLK 319-330 UBI AVENUE 1,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
142,KU3,BLK 331-341 UBI AVENUE 1,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,GEYLANG,GEYLANG,Central
143,KU4,BLK 342-352 UBI AVENUE 1,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,GEYLANG,GEYLANG,Central
144,KU5,"BLK 3004-3007,3014,3015 UBI ROAD 1",SURFACE CAR PARK,COUPON PARKING,SUN & PH FR 7AM-10.30PM,NO,N,GEYLANG,GEYLANG,Central
145,KU9,"BLK 302,304 UBI AVENUE 1",SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,YES,N,GEYLANG,GEYLANG,Central
146,K10,"BLK 28,30,32,34,36 CASSIA CRESCENT",SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,GEYLANG,GEYLANG,Central
147,K19,BLK 62 DAKOTA CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,SUN & PH FR 7AM-10.30PM,NO,N,GEYLANG,GEYLANG,Central
148,K2,"BLK 9,10,12 PINE CLOSE",SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,N,GEYLANG,GEYLANG,Central
149,K2T,BLK 21 JALAN EMPAT,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,GEYLANG,GEYLANG,Central
150,K21,BLK 58 DAKOTA CRESCENT,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,GEYLANG,GEYLANG,Central
151,K22,BLK 60 DAKOTA CRESCENT,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,GEYLANG,GEYLANG,Central
152,K3T,BLK 17 JALAN EMPAT,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,GEYLANG,GEYLANG,Central
153,K52,BLK 52 CASSIA CRESCENT,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,GEYLANG,GEYLANG,Central
154,K7,BLK 51 OLD AIRPORT ROAD,SURFACE CAR PARK,ELECTRONIC PARKING,NO,YES,N,GEYLANG,GEYLANG,Central
155,K9,BLK 42 CASSIA CRESCENT,SURFACE CAR PARK,COUPON PARKING,NO,NO,N,GEYLANG,GEYLANG,Central
